#L = 5.64622
#X		#Y		#Z		R		#Vx		#Vy		#Vz		#Ax		#Ay	#Az
1.3079	 3.04771	 5.43228	 0.561575	 -1.83626	 0.695543	 -1.16647	 3.22345	 -8.83522	 2.25171
1.24757	 1.08012	 0.43865	 0.561575	 -0.579421	 0.932212	 -0.29961	 3.4903	 4.7157	 -2.07615
1.53752	 3.98948	 3.98734	 0.561575	 -0.402279	 1.11193	 2.51947	 -36.5913	 -49.8989	 65.5941
4.09882	 1.28664	 1.97734	 0.561575	 -0.0998044	 1.29156	 0.771165	 -0.185956	 -1.33479	 -1.8741
0.000231553	 3.84409	 0.912117	 0.561575	 0.351763	 0.0251637	 0.00261392	 -3.27249	 0.596842	 -6.59712
4.19248	 5.47601	 5.28202	 0.561575	 -1.52155	 -0.00980635	 2.52089	 -1.50766	 8.89408	 0.25563
3.68081	 3.39612	 3.26411	 0.561575	 0.937958	 -1.16774	 1.12633	 -17.5861	 45.0117	 -11.0873
1.99367	 0.299212	 4.55782	 0.561575	 -1.29236	 0.76822	 -0.585122	 24.659	 -4.84602	 -9.24674
4.0018	 2.5027	 3.42824	 0.561575	 -0.491531	 0.769426	 1.04888	 20.0843	 -37.7639	 20.855
2.05772	 3.29875	 2.85944	 0.561575	 -0.436216	 -0.140268	 -0.159068	 -36.8254	 28.8136	 14.0291
0.995968	 4.55653	 2.85415	 0.561575	 -0.635297	 2.18658	 1.11666	 -18.0231	 0.534775	 -7.49022
5.46628	 2.76705	 0.825583	 0.561575	 0.0230381	 -0.939522	 -1.03719	 19.6514	 5.14138	 4.44292
1.92006	 4.46355	 3.2915	 0.561575	 1.06268	 -0.819314	 -1.29967	 52.1756	 44.1932	 -64.8741
0.446591	 4.80605	 5.59457	 0.561575	 1.47041	 0.535156	 -1.00381	 -6.7454	 10.2236	 -0.935156
2.42281	 1.01099	 5.07903	 0.561575	 0.154465	 0.100298	 1.23039	 1.90736	 43.5701	 10.7353
4.81657	 1.30715	 4.39677	 0.561575	 -0.938815	 -0.379151	 -1.25626	 6.09088	 -15.9057	 -8.7169
1.81484	 2.0536	 0.0590041	 0.561575	 -0.613751	 0.139009	 1.82242	 -7.58997	 -1.52899	 4.591
1.00199	 4.11245	 4.93705	 0.561575	 -0.165373	 0.38823	 0.792397	 -5.34716	 -1.14788	 -43.9367
5.32287	 4.03983	 5.30993	 0.561575	 -0.2162	 -1.17531	 -0.765258	 -8.08858	 6.71194	 10.6633
0.383361	 5.62148	 1.93659	 0.561575	 -0.276738	 -0.0158814	 0.486584	 9.58313	 -3.6325	 -3.45101
0.448065	 0.410463	 0.63631	 0.561575	 0.370699	 -0.730491	 0.288629	 -6.1186	 -3.08627	 0.515862
1.0548	 2.3531	 0.853851	 0.561575	 -0.262033	 0.529911	 0.561144	 4.19597	 -12.7188	 -12.9039
2.59099	 2.83049	 0.541887	 0.561575	 0.369549	 0.14865	 -0.540465	 -21.005	 -15.5595	 -0.28826
4.81334	 4.80505	 0.249237	 0.561575	 -0.667045	 2.11091	 -0.702805	 -0.131406	 -2.08171	 3.54773
4.36896	 4.50351	 4.82845	 0.561575	 -1.62378	 -0.203435	 -2.63424	 1.74589	 -4.79978	 0.621906
5.07698	 1.87296	 5.24447	 0.561575	 0.687869	 0.766257	 0.620208	 -54.5797	 37.9799	 -8.05404
1.4962	 2.25362	 3.23167	 0.561575	 0.304029	 -0.441762	 0.184663	 -1.21712	 3.25936	 -1.07301
2.00714	 1.16023	 2.16402	 0.561575	 0.147783	 -0.623404	 -1.40246	 -2.9065	 -1.72768	 0.996465
5.37506	 2.86511	 1.97702	 0.561575	 0.811441	 -1.47118	 -0.364944	 -6.06909	 6.23244	 -1.72516
0.143441	 2.58002	 4.65611	 0.561575	 -0.859135	 -1.11994	 0.130041	 -0.440368	 1.02819	 1.29637
4.69879	 2.91217	 5.05332	 0.561575	 -1.76748	 0.198011	 -0.561795	 5.16826	 0.975252	 -1.95557
2.90517	 0.60519	 1.68897	 0.561575	 -0.500273	 1.40975	 -0.217158	 8.30284	 3.02366	 19.3164
2.21166	 4.96855	 5.32362	 0.561575	 -1.47923	 0.502512	 0.178407	 -6.26111	 3.99053	 -1.73547
3.41096	 3.39465	 0.43376	 0.561575	 1.07691	 -0.0455502	 -2.27452	 16.9458	 21.3725	 -4.66302
2.79636	 3.84754	 1.14842	 0.561575	 0.367978	 -1.39805	 2.36091	 -7.60631	 4.76447	 1.47368
2.2781	 1.2396	 3.33951	 0.561575	 -0.547632	 -0.815711	 -0.639246	 -1.49971	 0.47157	 -3.21857
4.84492	 0.843755	 5.5646	 0.561575	 -1.78247	 -0.795074	 -0.544448	 -2.19303	 -1.79106	 -5.36018
3.88949	 1.43784	 3.59616	 0.561575	 0.848927	 -0.271579	 0.420505	 2.35551	 -3.53113	 2.27749
4.0688	 3.65449	 1.31504	 0.561575	 1.30332	 0.220591	 0.850926	 2.33906	 -0.999523	 -7.67471
4.73526	 3.3618	 3.62356	 0.561575	 1.83217	 0.657778	 1.45045	 -0.720816	 -1.86569	 1.88741
3.30637	 3.76205	 2.06736	 0.561575	 0.788232	 0.358099	 -0.00350584	 1.14891	 2.39075	 13.1372
2.58824	 2.99105	 3.65418	 0.561575	 1.48869	 -1.83677	 1.64212	 12.6934	 -6.12006	 16.7019
0.915959	 1.3134	 3.47718	 0.561575	 0.493789	 -0.121031	 -0.207243	 -0.0968155	 0.123635	 -1.72653
3.58985	 3.53479	 4.77667	 0.561575	 2.80558	 -0.221945	 0.858159	 3.73739	 -1.11572	 4.59873
