#L = 10.2062
#X		#Y		R		#Vx		#Vy		#Ax		#Ay
1.17263	 0.0208211	 0.561575	 0.944203	 0.449061	 -13.3655	 11.7483
1.07107	 1.02453	 0.561575	 -0.638066	 -1.36626	 8.37093	 -55.0529
10.0114	 3.30635	 0.561575	 -1.66118	 1.00315	 -14.0515	 -14.2953
9.83142	 4.29001	 0.561575	 -0.408735	 -0.958178	 45.3728	 -26.8761
0.15664	 5.85317	 0.561575	 1.31767	 -0.639588	 -18.0731	 47.0807
0.0496247	 6.97662	 0.561575	 0.522587	 -0.964889	 -77.5673	 -35.5193
0.554334	 8.59818	 0.561575	 0.739362	 0.426962	 31.8925	 19.4317
2.01019	 9.7864	 0.561575	 0.452543	 0.754945	 89.5176	 31.7398
2.89667	 0.671281	 0.561575	 -0.413228	 0.341812	 -95.965	 5.1577
1.78476	 1.67781	 0.561575	 2.7988	 1.50801	 -13.7293	 -10.4923
1.6122	 2.63627	 0.561575	 0.89428	 -1.97804	 18.3592	 -37.5007
0.523977	 3.93242	 0.561575	 -0.229129	 1.35466	 39.7301	 23.2495
1.07766	 5.55645	 0.561575	 1.10309	 -0.640169	 35.9789	 -20.3144
1.75665	 6.24862	 0.561575	 -0.333586	 -0.272518	 26.2425	 -47.698
1.54708	 7.1965	 0.561575	 -0.733111	 1.5491	 41.4308	 8.77341
2.24544	 8.7629	 0.561575	 -1.08129	 -0.219579	 -15.0271	 71.7452
3.71771	 0.277832	 0.561575	 2.09286	 0.91132	 156.791	 -24.6541
3.61572	 1.25663	 0.561575	 -0.0262794	 1.88773	 62.9698	 -18.8842
2.3847	 3.3558	 0.561575	 0.14644	 -1.89014	 10.0368	 -34.1516
2.93652	 4.95606	 0.561575	 0.515539	 -0.774826	 -16.8284	 53.3641
2.66475	 5.91545	 0.561575	 1.29602	 -0.246828	 21.9551	 -54.8716
2.49521	 6.84975	 0.561575	 1.20205	 0.990828	 -32.6288	 24.2432
4.00061	 8.4109	 0.561575	 1.43024	 -1.08094	 59.047	 23.5607
3.98809	 9.49909	 0.561575	 -1.00481	 1.10803	 -34.2648	 41.3594
5.43324	 0.52467	 0.561575	 -0.601386	 0.99224	 2.12831	 -26.3088
4.43627	 1.78099	 0.561575	 0.574821	 2.05672	 -137.181	 136.302
4.05175	 3.73714	 0.561575	 1.27725	 0.719369	 14.3828	 33.9434
3.10033	 4.02785	 0.561575	 -0.492827	 0.324481	 40.7653	 21.5987
4.34025	 6.40002	 0.561575	 1.23812	 -0.426043	 68.2708	 -16.1307
5.11469	 7.04479	 0.561575	 -1.7409	 -0.42955	 -54.9447	 -47.4212
4.23457	 7.38659	 0.561575	 -0.442691	 -0.446716	 -33.4578	 25.6603
5.59118	 9.70994	 0.561575	 -2.18937	 -1.76491	 26.0251	 23.5202
6.13836	 1.13455	 0.561575	 -3.13849	 0.490318	 40.712	 1.46554
6.04538	 2.11807	 0.561575	 -0.848309	 0.745131	 -46.3027	 25.3378
4.96931	 3.49107	 0.561575	 0.227191	 0.459325	 36.114	 -44.388
4.77426	 4.43388	 0.561575	 -0.714109	 -0.250382	 19.8951	 21.6334
5.31188	 6.04918	 0.561575	 -0.208805	 0.600412	 -5.24762	 70.474
5.77505	 7.68854	 0.561575	 -0.931312	 0.494909	 132.123	 41.3991
7.34838	 8.96549	 0.561575	 -2.54958	 0.579688	 -26.4562	 1.89272
6.48359	 9.3211	 0.561575	 -1.87627	 1.28458	 -31.0571	 25.9898
7.95651	 0.370144	 0.561575	 -0.473079	 0.391997	 1.21606	 45.8384
6.88361	 1.70214	 0.561575	 1.04315	 -1.14964	 95.4655	 18.3936
6.77202	 2.68355	 0.561575	 -2.3072	 -1.02668	 44.5681	 55.2247
6.41049	 4.72779	 0.561575	 0.333197	 0.446697	 -7.1529	 59.219
6.22759	 5.74586	 0.561575	 2.03106	 -0.918796	 -8.54328	 -34.6912
6.78668	 7.35766	 0.561575	 -0.860241	 -0.63542	 -37.8158	 -21.7389
7.50844	 7.99079	 0.561575	 0.699166	 0.328198	 18.2693	 -1.89742
8.83416	 0.0580278	 0.561575	 -0.760171	 -1.54848	 32.0049	 -51.3856
9.47008	 1.6173	 0.561575	 -0.106129	 0.166339	 -4.4113	 9.752
8.59726	 2.01037	 0.561575	 1.56904	 0.342638	 -13.3461	 -13.9294
7.47648	 3.35439	 0.561575	 0.0902083	 -1.5477	 15.2848	 9.72432
7.15951	 5.38849	 0.561575	 0.722825	 0.434639	 -13.1988	 19.9795
9.31469	 7.2774	 0.561575	 0.828256	 -1.00424	 58.3708	 56.6289
8.61514	 6.65988	 0.561575	 -2.42882	 2.16054	 -96.8704	 11.0749
9.15641	 8.3057	 0.561575	 -0.940018	 -1.40368	 -44.1085	 -22.5611
8.94891	 9.28399	 0.561575	 2.00215	 0.654667	 77.1439	 -18.4049
0.264313	 0.358166	 0.561575	 1.01462	 0.131155	 101.684	 -68.5804
10.1988	 2.25128	 0.561575	 -0.587048	 -0.187657	 -39.2604	 62.8023
9.29213	 2.67871	 0.561575	 1.39016	 0.0333345	 10.0983	 -35.5709
8.07279	 5.00546	 0.561575	 -1.38797	 1.66113	 -3.79947	 24.7714
8.8138	 5.63577	 0.561575	 1.30216	 1.86866	 -90.6147	 8.0688
8.43633	 7.66168	 0.561575	 -0.618388	 -0.514573	 -28.3631	 -3.62268
10.0528	 7.96636	 0.561575	 1.8193	 -0.564333	 -54.4318	 -50.0217
9.87635	 8.9036	 0.561575	 -0.000679275	 -0.0289683	 -8.71004	 71.2079
