0.01	0.233899	0.004174
0.02	0.227564	0.0201
0.03	0.275038	0.02044
0.04	0.329601	0.009876
0.05	0.356018	0.007218
0.06	0.366573	0.00823
0.07	0.380215	0.009315
0.08	0.423623	0.00724
0.09	0.449011	0.008082
0.1		0.457142	0.008738
0.11	0.49743	0.005849
0.12	0.531737	0.01009
0.13	0.546928	0.005225
0.14	0.563122	0.004034
0.15	0.602909	0.00947
0.16	0.653026	0.008255
0.17	0.6835	0.007057
0.18	0.716867	0.004869
0.19	0.742498	0.01045
0.2		0.801713	0.007596
0.21	0.828866	0.01057
0.22	0.900761	0.01085
0.23	0.949704	0.01034
0.234	0.980813	0.0051
0.244	1.08161	0.01362
0.254	1.12449	0.008668
0.264	1.18934	0.005948
0.273	1.3069	0.005728
0.283	1.3617	0.01228
0.293	1.51658	0.003854
0.302	1.59256	0.007416
0.312	1.7679	0.00921
0.322	1.89146	0.005294
0.332	2.10976	0.003239
0.342	2.37896	0.005511
0.351	2.6674	0.003403
0.361	2.99352	0.02018
0.371	3.44265	0.005454
0.381	3.84951	0.01597
0.39025	5.03184	0.06336
0.4			5.97439	0.01844
0.401017	6.16896	0.01632
0.402034	6.3203	0.02864
0.403052	6.63263	0.02696
0.404069	6.67356	0.02387
0.405086	6.58074	0.01824
0.406103	6.98176	0.008544
0.40712		7.73273	0.01597
0.408137	7.19156	0.009148
0.409155	7.58459	0.05386
0.410172	8.02571	0.01871
0.411189	8.558	0.05008
0.412206	8.68007	0.04493
0.413223	9.7006	0.03631
0.41424		9.43088	0.04023
0.415258	9.63182	0.02663
0.416275	10.4275	0.06977
0.417292	10.4591	0.03322
0.418309	11.7422	0.03366
0.419326	11.5486	0.03588
0.420343	12.12	0.02344
0.421361	12.0345	0.02993
0.422378	14.5084	0.03908
0.423395	13.7786	0.02304
0.424412	14.9174	0.03234
0.425429	16.0661	0.02191
0.426446	16.4398	0.02153
0.427464	18.0868	0.03457
0.428481	18.6376	0.03931
0.429498	22.2499	0.07449
0.430515	22.7732	0.06113
0.431532	28.8138	0.157
0.432549	32.601	0.1726
0.433567	37.8185	0.1609
0.434584	37.3572	0.1022
0.435601	51.7403	0.2342
0.436618	49.7922	0.08794
0.437635	72.2855	0.5283
0.438652	86.5392	0.4612
0.43967		166.747	2.719
0.440687	300.451	8.408
