
100	0.613155	0.0302412	
112	0.611593	0.0283963	
124	0.613128	0.0274707	
136	0.614617	0.0264209	
148	0.615371	0.0252377	
160	0.615594	0.0242461	
172	0.615547	0.0235759	
184	0.615948	0.0228581	
196	0.616126	0.0220405	
208	0.616625	0.0214219	
220	0.617004	0.0209289	
256	0.617772	0.0194899	
268	0.617511	0.0190871	
280	0.61725	0.0186285	
292	0.617325	0.0181873	
304	0.617775	0.0180505	
500	0.619791	0.0143641	
600	0.619911	0.0132114	
700	0.620561	0.0124258	
800	0.620767	0.0116861	
900	0.620563	0.0109085	
1000	0.621174	0.0105937	
